"GPIO",                                                   "Native Fn 1",                                                                           "Native Fn 2",                    "Native Fn 3",        "Native Fn 4",    "n/a",  "Native Fn 5",  "n/a",  "Native Fn 7",
"Primary Well Group A (Per-Pad 1.8 V or 3.3 V)",          "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A00",                                                 "ESPI_IO_0",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A01",                                                 "ESPI_IO_1",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A02",                                                 "ESPI_IO_2",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A03",                                                 "ESPI_IO_3",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A04",                                                 "ESPI_CS_N",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A05",                                                 "ESPI_CLK",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A06",                                                 "ESPI_RESET_N",                                                                          "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A07",                                                 "SMB_CLK",                                                                               "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A08",                                                 "SMB_DATA",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A09",                                                 "SMB_ALERT_N",                                                                           "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A10",                                                 "CPU_GP_0",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A11",                                                 "CPU_GP_1",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A12",                                                 "USB_OC1_N",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A13",                                                 "USB_OC2_N",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A14",                                                 "USB_OC3_N",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A15",                                                 "n/a",                                                                                   "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A16",                                                 "DDI1_HPD",                                                                              "TIME_SYNC_1",                    "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A17",                                                 "DDI0_HPD",                                                                              "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
"GP_A18",                                                 "USB_OC0_N",                                                                             "n/a",                            "n/a",                "n/a",            "n/a",  "n/a",          "n/a",  "n/a",
